hosp	unit	tech	teach	beds	unitsur	we			expe	full	pa
14	56	0	0	348	0	2.26335200746965	3	1	20
14	56	0	0	348	0	2.26335200746965	35	0	5
14	56	0	0	348	0	2.26335200746965	27	0	4
14	56	0	0	348	0	2.26335200746965	25	1	15
14	57	0	0	348	1	2.46771512113617	24	0	4
14	57	0	0	348	1	2.46771512113617	1	1	41
14	57	0	0	348	1	2.46771512113617	4	1	8
14	57	0	0	348	1	2.46771512113617	10	0	2
14	57	0	0	348	1	2.46771512113617	23	0	22
14	57	0	0	348	1	2.46771512113617	4	1	5
14	57	0	0	348	1	2.46771512113617	8	0	5
